Country,Country Code,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Ecosystem Sustainability,Personal Rights,Personal Freedom and Choice,Tolerance and Inclusion,Access to Advanced Education,Undernourishment,Depth of food deficit,Maternal mortality rate,Child mortality rate,Deaths from infectious diseases,Access to piped water,Rural access to improved water source,Access to improved sanitation facilities,Availability of affordable housing,Access to electricity,Quality of electricity supply,Household air pollution attributable deaths,Homicide rate,Level of violent crime,Perceived criminality,Political terror,Traffic deaths,Adult literacy rate,Primary school enrollment,Lower secondary school enrollment,Upper secondary school enrollment,Gender parity in secondary enrollment,Mobile telephone subscriptions,Internet users,Press Freedom Index,Life expectancy,Premature deaths from non-communicable diseases,Obesity rate,Outdoor air pollution attributable deaths,Suicide rate,Greenhouse gas emissions,Water withdrawals as a percentage of resources,Biodiversity and habitat,Political rights,Freedom of speech,Freedom of assembly/association,Freedom of movement,Private property rights,Freedom over life choices,Freedom of religion,Early marriage,Satisfied demand for contraception,Corruption,Tolerance for immigrants,Tolerance for homosexuals,Discrimination and violence against minorities,Religious tolerance,Community safety net,Years of tertiary schooling,Women's average years in school,Inequality in the attainment of education,Number of globally ranked universities,Depth of food deficit - capped,Household air pollution attributable deaths - bucketed,Adult literacy rate - capped,Lower secondary school enrollment - capped,Upper secondary school enrollment - capped,Gender parity in secondary enrollment - capped,Mobile telephone subscriptions - capped,Greenhouse gas emissions - bucketed,Number of globally ranked universities - bucketed
Belarus,BLR,64.98,83.03,66.72,45.19,99.17,94.32,69.59,69.03,96.87,68.87,44.65,56.48,14.88,57.9,50.06,57.93,5,8,1,4.9,28.29244,87.7829224,98.9758763,94.3290537,0.322446315,100,,10.6964,2,2,3,2.5,14.4,99.7289,93.99680328,101.8979721,115.8979797,0.964969993,118.786176,54.17,47.82,72.06341463,26.21095,23.4,85.7282,28.1525,626.9223637,0.591421484,41.25,7,0,0,2,20,0.570031538,2,0.04,74.4,31,0.460687714,0.137883712,7.1,4,0.845476392,,13,0.0477,2,8,5,99,100,100,0.96496999,100,2,1
Belgium,BEL,82.83,93.73,76.57,78.19,99.15,100,89.01,86.78,98.79,90.17,68.43,48.89,85.59,82.16,76.56,68.45,5,8,6,4.4,27.76978,100,100,100,0.614044993,100,6.400783851,0,1,2,2,1,8.1,99,98.74195862,120.3493195,101.185791,0.974600017,110.9031799,82.1702,12.8,80.38536585,12.24323,19.1,52.4558,17.3249,296.7792648,3.164518106,57.56,1,1,2,4,80,0.858235514,2,0.01,86.2,76,0.737271801,0.819403806,4.2,3,0.943055991,1.01,13.4,0.092000002,7,8,6,99,100,100,0.97460002,100,2,3
Benin,BEN,50.04,50.41,58.96,40.73,75.95,34.93,37.67,53.1,54.22,60.81,68.32,52.5,52.23,50.63,51.19,8.88,9.7,62,340,85.3,577.327,16.4021976,69.0850941,14.3054386,0.489591489,27.9,2.193824467,89.9753,4,3,4,1.5,23.9,38.44714,94.86313629,58.90856934,31.03389931,0.609830022,93.25782193,4.9,28.83,59.1194878,22.0665,6.5,21.1852,3.33459,1055.878943,0,65.88,2,1,1,2,30,0.771056589,4,0.22,20.7,39,0.801792186,0.109171727,3.6,3,0.505937772,0.1,2.4,0.42,0,62,4,38.44714,58.908569,31.033899,0.60983002,93.257822,1,0
Bolivia,BOL,63.36,67.24,70.86,51.98,81.12,65.02,61.38,61.46,87.5,70.74,71.93,53.27,54.4,60.27,56.32,36.94,19.5,128,200,39.1,226.18018,82.9772248,71.9171971,46.4307133,0.376812143,80.2,3.86774916,40.3256,3,3,3,2,19.2,95.65097,83.42810059,90.50695038,70.49196625,1.004320025,97.69945273,39.5,31.04,66.92663415,18.29659,18.9,3.85155,5.97258,1107.261607,0.677154647,81.04,3,1,1,4,10,0.822518347,4,0.15,49.2,35,0.61129472,0.312520821,6.8,4,0.799644526,0.7,9.2,0.276,0,128,5,95.65097,90.50695,70.491966,1,97.699453,1,0
Bosnia and Herzegovina,BIH,66.15,85.78,70.35,42.33,99,94.83,73.36,75.95,90.59,77.82,63.76,49.23,43.04,41.04,39.91,45.31,5,8,8,6.6,19.97177,87.5708284,99.4630406,95.4129407,0.406929645,99.7,6.517552,75.6539,1,2,3,1.5,15.6,98.47681,88.35268,92.1389,73.54438782,1.0295,91.173651,67.9,26.86,76.12114634,17.54904,24.2,53.605,12.3987,832.6949822,0.01993265,2.5,4,1,1,2,20,0.358166633,4,0.17,24,39,0.524094336,0.104537116,7.4,2,0.753445013,,10.1,0.052,0,8,4,98.47681,92.1389,73.544388,1,91.173651,2,0
Botswana,BWA,65.22,65.51,71.69,58.46,72.02,76.94,50.48,62.61,85.52,68.13,65.2,67.9,71.28,76.08,61.96,24.53,26.6,197,170,46.6,555.30469,70.1669736,92.8386075,64.2717487,0.601962257,43.1,2.405395285,26.9676,4,3,2,2,20.8,88.46493,83.82035065,89.85494995,68.31256104,1.064669967,160.6410528,15,22.91,46.99070732,20.90021,13.5,1.29092,3.30303,412.3810881,1.362974038,100,3,1,2,3,70,0.786982965,4,0.05,74.1,63,0.671682812,0.20520868,5.1,4,0.856035569,0.14,8.3,0.321,0,197,5,88.46493,89.85495,68.312561,1,100,2,0
Brazil,BRA,70.89,71.14,76.21,65.33,96.34,84.98,67.7,35.55,96.13,73.6,73.63,61.49,75.2,71.63,66.45,48.05,5,12,69,13.7,92.77389,92.149819,85.2842607,81.3300054,0.414661583,98.93,4.111616215,11.9633,5,4,4,4,22.5,92.58371,95,114.00778,95.31568,,135.3050481,51.6,34.03,73.61787805,19.41218,19.5,3.88299,6.38016,401.6244218,0.914442268,66.74,2,1,2,4,50,0.703771011,4,0.04,86.8,43,0.665821578,0.642496872,5.6,3,0.896033753,0.39,9.3,0.247,22,12,5,92.58371,100,95.31568,1,100,2,4
Bulgaria,BGR,70.19,84.73,69.57,56.29,98.4,98.76,65.41,76.33,94.02,75.02,48.8,60.42,62.48,54.35,49.39,58.93,5,8,5,11.6,33.43333,97.2577819,98.9680106,100,0.547213075,100,4.229598301,56.9939,1,3,3,1,10.4,98.38898,94.9618988,86.60124969,98.93573761,0.95697999,145.1876887,53.0615,31.42,74.31463415,24.0459,21.4,125.684,10.654,578.8612738,1.265797656,68.85,2,1,1,4,30,0.529268166,2,0.09,58.5,43,0.388374098,0.257840023,4.9,2,0.875062471,0.79,13.2,0.057999999,1,8,4,98.38898,86.60125,98.935738,0.95697999,100,2,1
Burkina Faso,BFA,48.82,46.56,57.79,42.11,65.44,36.95,27.47,56.38,42.75,53.32,65.12,69.99,57.35,49.02,54.82,7.27,20.7,167,400,97.6,648.21691,7.3290563,75.8308324,18.6364928,0.561802614,13.1,1.694834645,116.199,4,3,3,1.5,27.7,36.02263,66.36425018,35.74832153,11.14865971,0.811360002,66.37728295,4.4,24.45,55.86202439,23.79954,2.4,34.6862,2.83371,894.0101949,0.00000445,83.75,6,2,1,4,25,0.700595233,4,0.32,39.8,38,0.799799139,0.077245511,5.3,3,0.74110435,,1.5,0.385,0,167,3,36.02263,35.748322,11.14866,0.81136,66.377283,2,0
Cambodia,KHM,53.96,53.86,67.52,40.52,83.45,40.92,42.32,48.76,72.27,58.61,72.44,66.74,42.45,61.18,39.75,18.68,16.1,111,170,37.9,227.49536,17.8419722,65.6296168,36.7944114,0.761436975,31.1,3.044093445,147.206,3,4,4,3,17.2,77.18598,98.38291931,62.59069824,28.44890976,0.852240026,133.8902393,6,40.97,71.40882927,17.67136,2.3,31.8784,10.7879,677.2765164,0.44228084,78.93,6,1,1,3,25,0.932421003,3,0.11,56.8,21,0.195221742,0.275224209,7.3,4,0.692798719,0.07,4.7,0.283,0,111,3,77.18598,62.590698,28.44891,0.85224003,100,2,0
Cameroon,CMR,47.42,48.48,58.15,35.61,68.43,36.73,42.42,46.35,70.15,49.83,65.76,46.87,24.13,49.22,49.75,19.35,10.5,66,590,94.5,768.83793,16.2345019,51.8784857,45.1590398,0.427272515,49,2.434351507,81.4563,4,4,4,2.5,20.1,74.98557,91.52661896,60.4156189,35.87509918,0.855639994,70.3904685,6.4,38.13,54.5875122,19.93819,11.1,22.6168,4.36176,1691.085165,0.107044034,45.67,6,1,0,1,25,0.786013307,4,0.26,32.8,27,0.664115812,0.052182249,7.8,4,0.77679519,0.08,6.6,0.3476,0,66,4,74.98557,60.415619,35.875099,0.85563999,70.390469,1,0
Canada,CAN,86.89,94.89,79.22,86.58,99.05,99.23,89.61,91.66,98.17,84.56,76.09,58.04,87.91,88.41,84.88,85.11,5,8,11,5.2,22.63701,,98.9999958,99.8075692,0.616695167,100,6.515013264,0,1,1,2,1,6.8,99,,99.70155334,105.0854416,0.979600012,78.39781723,85.8,10.99,81.23804878,10.6733,24.3,21.5087,10.9012,516.406241,1.205766615,58.4,1,1,2,4,90,0.914959498,4,0.03,87.3,81,0.867877691,0.798143445,3.4,4,0.936239388,1.51,15,0.04,26,8,6,99,99.701553,100,0.97960001,78.397817,2,4
Central African Republic,CAF,31.42,26.81,44.84,22.62,37.07,26.25,13.93,29.98,32.95,37.19,61.74,47.48,16.68,36.97,27.65,9.19,37.6,287,880,139.2,1212.1434,1.5828882,54.3507217,21.5218126,0.304679216,9.464245,,155.254,5,5,5,4,14.6,36.75261,71.87683868,23.56241989,9.319709778,0.51275003,29.46657548,3.5,33.13,49.47539024,18.49397,3.7,31.9617,12.2906,22056.06174,0,97,7,0,1,1,15,0.775773814,2,0.42,26.2,24,0.736185916,0.108333935,9.5,2,0.387390901,0.06,3.9,0.459,0,287,2,36.75261,23.56242,9.3197098,0.51275003,29.466575,0,0
Chad,TCD,33.17,28.09,44.12,27.3,38.17,20,19.66,34.51,30.72,36.14,62.18,47.44,36.17,25.08,43.08,4.89,34.8,264,980,147.5,1070.92998,6.278832,44.7509362,11.9289615,0.301652182,3.5,1.6725145,100.634,4,4,5,3,29.7,40.17137,63.05698013,26.48446083,17.14415932,0.457379997,35.56437683,2.3,40.22,50.70058537,23.19335,3.1,40.9765,2.75618,1674.692275,0.522388601,55.34,7,0,2,3,20,0.562361202,2,0.45,9.1,22,0.671561379,0.052887035,8.5,3,0.731786533,,1.4,0.434,0,264,3,40.17137,26.484461,17.144159,0.45738,35.564377,1,0
Chile,CHL,78.29,86.32,74.85,73.69,97.84,95.23,80,72.19,94.56,80.84,74.64,49.37,89.6,77.66,67.12,60.38,5,24,22,8.2,36.27848,98.7507053,91.3148844,98.8603486,0.427770842,99.59,5.359823319,6.67101,2,2,3,2,12.3,97.50666,92.65345001,97.71446228,84.9442215,1.035390019,134.2782809,66.5,25.8,79.57265854,11.85583,29.1,8.56386,12.4433,289.8893926,3.205366192,60.16,1,2,1,4,90,0.732970563,4,0.06,78,73,0.663056713,0.52483688,3.8,3,0.857472439,0.53,12.2,0.136999999,11,24,6,97.50666,97.714462,84.944221,1,100,2,4
China,CHN,59.07,73.74,65.4,38.08,93.08,73.74,70.39,57.73,94.75,52.93,61.71,52.2,4.64,68.45,34.88,44.34,10.6,85,32,12.7,41.44481,70.8622591,84.8692854,65.3093785,0.560834174,99.7,5.223925382,75.8791,1,2,4,4,20.5,96.37548,,103.5249634,76.61618805,1.02136004,88.70833462,45.8,72.91,75.1995122,19.38787,5.6,91.9483,11.9528,781.9113388,2.944768721,66.63,7,0,0,0,20,0.762809402,1,0.02,94.5,36,0.400632725,0.136790519,8.6,2,0.766547672,0.12,8.9,,46,85,4,96.37548,100,76.616188,1,88.708335,2,4
Colombia,COL,68.85,70.98,77.3,58.26,91.59,77.82,73.52,41.01,90.06,72.58,78.93,67.64,58.56,66.91,57.25,50.34,11.4,81,83,16.9,54.99818,87.3427114,73.5965738,80.1996112,0.489073697,96.79,5.103309981,21.4666,5,4,4,3.5,15.6,94.67554,83.86139679,101.2550735,75.90189362,1.088019967,104.0845439,51.7,36.68,73.77707317,12.44183,18.1,3.41999,5.70351,331.9417586,0.327354232,80.4,3,1,1,3,50,0.79094722,4,0.17,82.8,37,0.709435696,0.535310812,7.7,2,0.902496473,0.75,8.8,0.221000001,9,81,5,94.67554,100,75.901894,1,100,2,3
"Congo, Republic of",COG,49.6,40.67,66.56,41.58,64.08,23.31,30.7,44.61,72.07,63.3,67.26,63.6,44.1,46.17,49.61,26.44,31.5,223,410,49.1,666.92172,25.1056075,38.8226298,14.5970384,0.309039266,37.1,,123.271,5,4,4,2.5,17.1,79.31117,90.17035675,64.15229034,37.82437897,0.867410004,104.7695043,6.6,29.44,58.29656098,19.8223,5.3,20.8448,9.15952,556.6800536,0.427577452,66.29,6,1,1,4,10,0.631846229,4,0.2,34.3,23,0.641697007,0.064647257,6.3,4,0.682255179,0.07,8.3,0.254,0,223,3,79.31117,64.15229,37.824379,0.86741,100,2,0
Costa Rica,CRI,77.88,84.22,78.83,70.59,96.6,92.65,81.98,65.65,93.96,80.66,78.09,62.61,83.28,76.27,73.58,49.24,5.9,41,38,9.6,30.50013,95.8836658,90.8802759,93.9044325,0.479343031,99,5.575138622,5.43387,4,2,3,2,12.7,97.75527,91.97586823,120.5546036,78.79904175,1.053300023,145.9716479,45.96,12.23,79.70502439,12.24601,24.6,7.71175,7.50128,248.0952364,1.941371802,89.55,1,2,2,3,50,0.919404291,3,0.13,89.1,54,0.753471582,0.524222019,4.4,4,0.911332877,0.73,10.8,0.157000001,2,41,6,97.75527,100,78.799042,1,100,2,1
Croatia,HRV,73.3,87.49,76.09,56.32,99.22,94.48,75.69,80.59,95.58,80.51,61.64,66.63,68.23,58.51,46.33,52.23,5,8,13,4.5,12.18961,87.4925803,96.8399817,98.204982,0.428014219,100,5.667059069,14.3883,1,2,3,1,10.4,99.27412,89.31543732,102.365448,94.53195953,1.037789941,114.5095687,66.7476,26.82,76.92439024,17.72929,21.3,69.4437,13.8494,299.1738522,0.017393729,70.87,1,1,1,4,40,0.491895786,3,0.02,56.3,48,0.463058661,0.358995726,5.6,3,0.624622342,0.62,12.1,0.103999999,1,8,5,99,100,94.53196,1,100,2,1
Cuba,CUB,60.83,80.08,60.51,41.9,97.71,85.2,63.14,74.29,96.03,24.33,73.29,48.38,2.32,48.89,66.86,49.52,5,9,80,6.2,33.22394,76.7103361,87.2510914,92.5663988,0.140198002,100,,14.581,2,1,3,3,7.8,99.84674,96.35661316,99.90769196,80.9389267,1.004920006,17.71492741,25.70893209,70.92,79.06702439,16.54665,20.5,14.8327,11.7209,253.9938512,3.192193495,56.06,7,0,0,0,10,0.262473334,2,0.23,87.8,46,0.496140845,0.543701133,4.8,4,0.929089346,0.43,12.4,0.11,1,9,5,99,99.907692,80.938927,1,17.714927,2,1
Cyprus,CYP,77.45,89.3,75.95,67.11,99.3,100,80.26,77.62,97.95,83.4,76.98,45.47,93.04,73.55,44.14,57.73,5,8,10,3.6,16.19033,100,100,100,0.393389242,100,5.5449734,0,1,2,3,2,7.6,99.06569,97.91239929,98.59220886,92.5069809,1.018329978,95.17782689,65.4548,14.45,79.63712195,9.49923,23.4,39.3972,3.0996,298.4973299,5,77.03,1,2,2,4,70,0.693945051,4,0.02,,63,0.52364538,0.298805622,7.3,2,0.765598818,1.11,13.8,0.139775001,0,8,6,99,98.592209,92.506981,1,95.177827,2,0
Czech Republic,CZE,80.59,94.23,79.04,68.49,99.25,98.48,87.1,92.11,97.41,89.08,61.13,68.53,76.35,75.82,60.73,61.06,5,8,5,3.6,27.0444,95.1274761,99.639999,99.9942777,0.534131334,100,6.353068393,2.86153,1,2,1,1,7.6,99,,104.4519806,90.49748993,1.001870036,131.2534239,74.1104,10.07,78.07560976,16.95646,28.7,67.0748,13.0889,475.1347122,1.134582989,98.35,1,1,1,4,75,0.757462244,4,0,82.5,51,0.500271598,0.432319024,3.8,3,0.845634739,0.5,13.8,0.013856,5,8,6,99,100,90.49749,1,100,2,2
Denmark,DNK,86.63,96.03,82.63,81.23,99.23,100,92.25,92.66,99.27,95.63,74.04,61.57,89.07,89.87,79.33,66.63,5,8,5,3.5,29.47551,100,100,100,0.700762151,100,6.695793162,0,1,1,2,1,4.7,99,97.8688736,117.6982193,131.4380035,1.010120034,127.4727287,94.6297,7.43,80.05121951,13.34976,16.2,32.9868,11.789,230.3930201,0.95293102,67.74,1,1,2,4,95,0.936297046,3,0,81.6,92,0.804261641,0.758377424,3.4,3,0.949913895,0.95,13.4,0.031000001,5,8,6,99,100,100,1,100,2,2
Djibouti,DJI,47.27,64.18,44.02,33.62,72.56,61.33,52.4,70.43,49.28,23.67,65.98,37.15,29.72,51.87,45.17,7.72,18.9,143,230,69.6,625.96577,63.3284166,65.4592813,61.3623885,0.317641387,49.7,,23.9681,2,1,3,3,,,57.83589172,52.41802979,38.07421875,0.769330025,27.96586676,9.5,70.34,61.30397561,18.80933,10.4,24.8438,11.4494,,3.390809163,15.45,6,0,0,4,25,0.737244522,3,,40.4,34,0.559623335,0.052936241,6.4,4,0.630504269,,3.6,0.47,0,143,5,,52.41803,38.074219,0.76933002,27.965867,2,0
Dominican Republic,DOM,62.47,64.8,71.95,50.65,88.03,74.32,61.91,34.95,86.54,70.86,73.97,56.42,44.15,65.09,60.44,32.91,14.7,104,100,28.1,76.76522,66.505907,77.2158826,82.0400207,0.542907593,98.15,2.380986793,14.3466,5,3,4,3,41.7,91.79077,86.53121948,83.80992889,71.92752838,1.119670033,88.43350015,45.9,27.17,73.23297561,14.77042,21.9,15.7208,5.98914,274.9840842,3.487299185,92.94,2,1,0,2,30,0.885547146,4,0.27,84.5,32,0.602961341,0.317380627,6.1,4,0.872819543,0.26,9.9,0.239999999,0,104,5,91.79077,83.809929,71.927528,1,88.4335,2,0
Ecuador,ECU,68.25,73.56,76.46,54.72,90.87,78.84,77.21,47.31,93.3,71.7,78.24,62.61,55.56,59.9,63.37,40.05,11.2,72,87,22.5,97.30908,85.0401529,75.1666769,83.0702859,0.515540045,97.46,4.495057268,3.94113,4,3,4,2.5,27,94.45504,95.1516037,96.11010742,77.32505035,1.016409993,111.4620027,40.35368423,31.16,76.19256098,11.91679,22,2.63871,7.96246,364.5818587,1.860604233,88.09,3,1,1,4,15,0.71619405,4,0.22,74.6,33,0.74380923,0.540086538,7.5,4,0.829120016,0.37,10.3,0.216,2,72,6,94.45504,96.110107,77.32505,1,100,2,1
Egypt,EGY,59.91,77.69,67.59,34.47,96.08,97.05,63.77,53.85,87.78,66.03,57.32,59.23,28.09,55.35,23.29,31.13,5,14,45,21.8,74.34568,96.1481853,98.7876993,95.904664,0.268784748,99.6,2.672517332,5.91625,2,4,4,3,13.2,73.75181,95.10083008,100.8797913,71.33049774,0.981040001,121.507893,49.56,51.89,70.9072439,24.50326,34.6,61.3048,2.25026,339.3025518,1.327987529,65.26,6,1,0,2,20,0.568285164,1,0.14,80.7,37,0.348649043,,8.6,1,0.618550698,0.34,8.4,0.409,5,14,6,73.75181,100,71.330498,0.98104,100,2,2
El Salvador,SLV,64.31,68.38,68.81,55.75,90.28,74.19,73.94,35.12,85.88,70.84,70.4,48.11,71.72,63.72,60.99,26.59,13.5,93,69,15.7,96.23056,73.111052,80.9571191,70.4715792,0.601526884,92.03,4.927644009,24.8687,5,5,5,2,21.9,87.98806,93.40232849,90.3513031,47.93656158,1.002210021,136.1874402,23.1093,21.57,72.10453659,16.91213,26.9,3.53361,11.056,271.1787449,1.494649349,24.53,2,1,2,4,35,0.703572427,4,0.17,77.9,39,0.592079046,0.438957061,6,4,0.826477013,0.24,8.1,0.302000001,0,93,5,87.98806,90.351303,47.936562,1,100,2,0
Estonia,EST,80.49,88.44,79.61,73.42,99.28,96.05,79.13,79.28,97.89,90.83,68.14,61.58,97.68,76.55,54.33,65.11,5,8,11,3.4,18.54413,95.3539648,97.6168739,95.1781794,0.658032793,100,5.376744218,19.5003,2,2,3,1,6.5,99.82517,94.68823242,100.9198074,112.6006775,0.990140021,159.6607033,80.0043,9.63,76.42682927,18.8167,18.9,26.184,14.547,717.4834195,2.750275178,100,1,2,2,4,90,0.732926377,4,0.05,76.2,69,0.369313183,0.293235865,6.2,4,0.892906326,1.17,12.5,0.025,2,8,5,99,100,100,0.99014002,100,2,1
