Spot Mag Potas Thor Uran
83 218 39 58 47 
85 224 41 57 48 
107 228 39 57 48 
139 232 39 57 49 
139 237 44 58 54 
56 243 48 60 60 
173 248 51 67 64 
197 252 55 76 70 
98 254 44 87 76 
90 254 44 93 87 
64 253 44 96 98 
56 253 51 97 108 
47 253 53 102 111 
30 254 57 108 109 
66 255 46 118 104 
56 255 30 124 99 
71 255 23 116 101 
91 255 30 103 111 
69 255 39 89 120 
39 255 44 80 124 
79 255 41 77 125 
57 255 34 80 120 
54 255 30 85 115 
66 255 27 90 112 
66 255 30 92 106 
79 255 39 92 103 
86 255 46 92 98 
51 255 53 91 96 
20 255 53 91 99 
61 255 55 88 102 
79 255 60 84 108 
74 255 64 78 114 
83 255 69 74 119 
69 255 74 72 123 
37 255 71 81 118 
47 255 71 94 112 
47 255 67 110 106 
39 255 69 116 104 
49 255 64 114 111 
57 255 57 109 116 
71 253 48 102 121 
74 247 37 96 123 
105 239 30 90 124 
98 229 27 85 124 
79 219 32 83 122 
98 212 41 82 118 
69 207 46 80 112 
90 204 55 79 108 
71 204 51 78 105 
44 204 53 80 105 
103 207 51 84 103 
88 213 48 88 99 
20 219 48 88 99 
119 235 55 83 101 
81 253 53 73 90 
79 255 57 66 83 
122 255 64 65 85 
40 255 64 66 87 
49 255 64 66 90 
39 255 57 66 94 
57 255 55 67 96 
34 255 48 66 98 
49 255 41 66 100 
56 255 34 67 103 
42 255 27 68 104 
44 255 27 72 103 
51 255 25 72 100 
28 255 23 67 87 
86 255 20 57 69 
79 255 30 52 65 
57 255 37 51 63 
25 255 48 50 66 
39 255 57 49 69 
64 255 69 45 73 
95 255 76 45 73 
73 255 64 45 78 
141 255 60 46 84 
141 255 55 46 89 
141 255 55 46 91 
166 255 62 47 95 
185 255 69 48 98 
149 254 76 47 99 
188 249 74 52 96 
193 242 67 58 92 
154 234 60 65 92 
175 224 53 69 95 
139 212 48 68 100 
78 199 46 65 109 
61 186 48 64 120 
163 175 51 69 132 
76 165 51 75 142 
28 157 48 78 149 
32 151 57 82 153 
30 146 69 80 159 
59 141 83 77 157 
64 137 92 76 150 
61 134 102 78 140 
90 130 106 81 131 
79 127 111 82 124 
125 124 111 81 120 
156 121 115 75 116 
61 119 125 68 110 
54 117 146 63 103 
159 115 166 60 92 
209 114 183 60 84 
170 112 187 63 77 
171 110 176 69 72 
64 109 164 74 70 
90 149 41 61 53 
61 150 41 63 50 
110 152 39 64 51 
115 153 32 63 53 
81 154 32 65 53 
45 156 32 66 55 
74 158 37 63 57 
56 160 39 60 58 
130 161 41 56 58 
103 163 41 52 56 
120 165 39 50 54 
149 167 34 50 49 
136 170 32 49 47 
79 173 32 52 45 
105 176 30 54 43 
132 181 27 57 41 
136 187 30 59 41 
134 194 32 60 42 
86 202 37 61 44 
64 210 39 61 44 
134 217 39 61 45 
130 222 39 58 46 
112 227 39 58 47 
149 231 41 58 48 
122 235 44 57 52 
52 239 46 60 58 
88 243 48 65 61 
96 247 53 74 67 
61 249 46 84 74 
52 250 44 91 84 
37 249 46 94 94 
30 247 53 95 101 
56 247 60 102 104 
56 249 57 110 104 
64 253 46 119 99 
47 255 30 125 93 
78 255 27 116 96 
45 255 32 102 105 
81 255 41 90 114 
86 255 46 81 119 
49 255 41 78 117 
47 255 37 81 112 
25 255 30 87 107 
56 255 27 91 104 
30 255 32 92 101 
25 255 39 91 98 
40 255 46 89 94 
57 255 48 89 94 
71 255 51 87 96 
56 255 55 86 102 
66 255 55 82 108 
59 255 64 77 113 
22 255 69 74 120 
100 255 69 72 124 
73 255 71 81 118 
57 255 74 92 112 
107 255 69 106 107 
98 255 71 113 105 
47 255 64 113 110 
154 255 60 108 116 
90 255 51 103 120 
119 253 41 96 122 
112 245 34 89 123 
88 234 27 84 124 
110 222 34 82 121 
90 213 41 81 117 
74 207 48 80 112 
93 203 55 78 108 
78 201 53 80 104 
64 200 51 83 104 
102 202 51 86 103 
61 207 48 89 100 
74 213 48 88 100 
71 227 51 83 100 
185 247 51 73 91 
93 255 53 65 84 
96 255 60 64 84 
51 255 62 64 86 
95 255 62 65 87 
17 255 64 65 89 
40 255 55 65 91 
35 255 48 65 92 
51 255 41 66 94 
52 255 32 66 97 
56 255 25 69 98 
54 255 20 72 97 
52 255 16 73 94 
45 255 20 67 83 
110 255 16 57 66 
56 254 25 51 62 
32 253 34 50 60 
35 254 46 49 62 
74 254 55 49 64 
57 255 69 47 65 
79 255 71 46 69 
136 255 62 45 76 
125 255 55 45 82 
105 255 51 45 86 
124 255 53 45 89 
120 255 62 45 91 
129 255 69 46 92 
158 255 76 46 93 
51 254 71 51 91 
124 250 67 57 85 
79 243 60 65 85 
88 233 51 71 86 
93 222 46 66 94 
105 210 46 63 102 
175 198 48 63 114 
141 187 48 68 127 
108 176 48 72 139 
56 165 48 77 148 
27 157 53 80 157 
42 151 69 78 163 
85 146 78 77 160 
64 141 92 75 156 
52 137 99 77 145 
69 133 104 80 135 
74 130 106 84 127 
66 127 106 82 123 
52 124 108 76 117 
178 121 120 70 112 
59 119 141 64 104 
120 117 164 60 94 
141 115 180 61 84 
59 114 185 64 77 
171 112 176 69 72 
108 110 162 75 70 
78 149 41 60 52 
96 150 39 64 49 
88 151 37 65 51 
51 152 32 64 52 
68 154 32 65 53 
79 155 32 66 54 
132 157 32 66 54 
71 158 39 62 55 
105 160 39 58 55 
98 162 39 54 53 
120 164 39 52 51 
78 166 37 52 49 
178 168 34 52 46 
103 170 30 53 44 
73 173 30 55 43 
119 178 30 57 41 
183 184 30 59 41 
98 192 32 60 42 
90 200 37 62 44 
168 209 39 62 44 
166 216 39 61 44 
130 221 41 59 45 
129 225 41 58 46 
129 229 41 56 48 
129 232 44 56 52 
81 236 46 57 55 
141 239 46 62 59 
54 242 48 69 64 
51 244 48 78 71 
37 244 46 84 79 
62 243 48 90 87 
51 241 53 92 94 
49 241 57 99 96 
51 243 55 107 97 
62 248 48 114 94 
18 253 37 115 91 
98 255 34 107 94 
93 255 39 97 101 
100 255 46 87 109 
115 255 48 80 111 
54 255 46 77 108 
119 255 39 79 104 
64 255 34 84 100 
61 255 32 88 96 
83 255 34 88 95 
81 255 39 86 95 
59 255 48 85 93 
32 255 48 84 93 
59 255 48 85 96 
64 255 51 85 101 
76 255 51 83 109 
98 255 53 80 116 
83 255 69 77 120 
129 255 69 73 127 
22 255 71 83 120 
71 255 74 91 114 
107 255 74 101 109 
100 255 74 108 106 
83 255 69 109 110 
71 255 64 107 116 
88 255 55 100 118 
30 254 46 94 120 
66 250 41 88 121 
85 239 39 84 122 
91 226 39 82 119 
57 215 46 81 116 
83 209 51 80 111 
61 203 55 81 105 
47 200 51 83 102 
69 198 51 86 103 
79 198 51 89 104 
54 202 51 90 103 
78 208 48 88 100 
105 221 51 82 100 
134 241 48 73 90 
51 254 51 65 85 
86 255 60 62 84 
90 255 60 63 84 
110 255 60 63 85 
40 255 60 63 85 
39 255 57 63 85 
119 255 53 64 87 
56 255 41 64 88 
20 255 34 64 90 
49 255 25 68 90 
23 255 20 71 90 
13 255 18 74 87 
69 255 18 67 79 
78 254 18 58 66 
62 251 27 52 62 
32 249 34 50 61 
40 249 46 49 65 
40 251 53 50 64 
83 253 60 50 66 
40 255 62 49 71 
108 255 57 48 75 
141 255 51 48 81 
156 255 48 48 84 
115 255 51 47 87 
124 255 60 47 89 
120 255 64 47 89 
117 255 67 48 88 
129 255 67 52 87 
103 254 64 57 83 
136 251 64 63 82 
81 244 53 65 86 
185 233 51 64 90 
110 222 51 61 98 
151 210 51 62 109 
119 199 53 65 121 
85 187 51 70 132 
49 174 51 74 144 
59 165 57 77 154 
32 158 69 78 161 
47 151 78 77 160 
61 145 88 77 156 
71 140 95 78 147 
71 136 102 81 138 
69 132 102 85 130 
98 129 102 83 125 
69 126 106 78 120 
125 124 115 72 112 
107 121 136 66 105 
57 119 157 64 95 
141 117 173 63 86 
112 115 178 65 78 
115 113 171 70 73 
130 112 162 75 71 
51 149 39 60 51 
88 150 39 63 49 
69 151 34 64 50 
76 152 30 64 51 
88 153 32 65 53 
69 155 32 66 54 
125 156 32 67 54 
62 157 37 64 52 
95 159 39 61 51 
79 161 39 58 50 
115 163 37 55 49 
44 164 37 54 48 
146 166 34 54 46 
198 169 32 55 44 
190 171 30 56 42 
108 175 30 57 41 
141 181 32 59 42 
78 189 34 61 42 
132 198 37 62 43 
103 207 39 63 43 
59 215 41 62 43 
95 220 41 61 44 
107 224 44 58 46 
129 227 44 55 49 
95 230 44 54 52 
139 233 46 54 54 
125 235 48 58 57 
35 237 51 65 62 
47 238 48 72 66 
93 239 48 79 72 
54 238 51 86 79 
42 235 53 91 84 
61 235 53 97 87 
49 237 53 103 89 
51 241 51 106 89 
23 247 46 104 89 
115 253 41 97 92 
93 255 44 90 97 
81 255 48 83 101 
134 255 53 77 102 
151 255 51 75 99 
112 255 46 78 95 
95 255 41 82 92 
42 255 37 84 90 
76 255 37 84 90 
120 255 46 81 90 
79 255 46 80 91 
130 255 48 80 93 
105 255 46 81 96 
98 255 44 83 102 
51 255 44 85 109 
47 255 46 83 117 
69 255 53 82 121 
71 255 62 83 123 
129 255 71 85 120 
129 255 76 90 115 
76 255 78 96 112 
66 255 78 101 109 
57 255 71 104 111 
78 255 67 103 115 
54 255 57 98 117 
69 255 53 93 118 
52 253 48 88 118 
61 245 46 83 118 
83 230 46 81 116 
83 219 48 80 114 
68 212 53 81 109 
59 206 53 84 104 
66 201 48 86 100 
56 198 51 90 102 
74 198 53 93 105 
105 201 51 91 103 
88 206 48 88 101 
47 219 48 82 99 
124 236 46 72 91 
83 250 48 65 86 
56 255 57 60 84 
15 255 60 60 84 
59 255 55 61 82 
51 255 62 62 80 
117 255 62 62 80 
149 255 55 62 80 
51 255 46 63 82 
44 255 34 63 84 
137 255 27 67 83 
142 255 20 71 82 
91 254 20 72 80 
129 253 20 67 75 
141 250 20 59 65 
100 246 25 54 63 
20 244 34 51 64 
49 245 41 50 66 
71 248 46 51 66 
139 251 51 53 68 
112 254 53 51 70 
141 255 51 50 74 
146 255 48 51 79 
85 255 48 50 81 
96 255 46 50 84 
127 255 48 49 86 
91 255 53 50 87 
136 255 55 51 86 
134 255 55 54 82 
141 255 62 58 80 
105 255 62 60 81 
98 252 64 62 84 
137 245 57 60 89 
122 234 60 60 95 
103 223 60 60 104 
74 212 57 63 114 
54 198 55 67 126 
71 185 55 71 137 
85 174 60 76 149 
78 164 69 77 156 
59 157 81 77 159 
59 150 85 79 153 
64 144 90 82 147 
49 139 92 84 140 
59 135 95 86 133 
95 132 95 84 128 
90 129 102 80 122 
100 126 113 74 114 
95 123 129 69 106 
91 121 148 66 97 
147 119 162 65 88 
183 117 169 66 81 
149 115 166 70 75 
173 113 159 74 72 
105 149 37 59 48 
90 150 37 61 48 
64 151 32 62 50 
88 152 30 64 51 
78 153 32 65 53 
98 154 32 66 54 
95 155 32 67 52 
102 156 37 66 50 
108 158 39 64 47 
115 160 39 62 47 
100 162 39 59 47 
142 163 39 57 47 
153 165 37 55 45 
122 168 34 56 44 
161 170 32 57 42 
187 173 32 57 42 
56 179 34 59 42 
98 187 34 62 42 
134 196 39 63 43 
98 206 41 64 43 
79 214 41 66 43 
95 219 44 63 44 
85 223 48 59 47 
91 225 48 54 50 
120 227 48 52 54 
98 229 48 51 55 
110 230 48 55 56 
74 232 51 62 59 
11 233 51 70 63 
27 233 51 78 67 
23 232 53 85 71 
27 230 53 91 76 
47 230 53 97 81 
42 232 53 103 83 
47 235 55 103 86 
28 241 53 97 89 
113 248 53 91 90 
93 253 51 85 95 
105 255 55 81 98 
159 255 57 77 95 
113 255 57 77 91 
98 255 53 79 87 
64 255 48 81 84 
73 255 44 83 85 
124 255 41 82 85 
96 255 44 78 89 
108 255 44 77 90 
119 255 46 76 93 
113 255 41 79 97 
62 255 39 83 103 
61 255 37 85 110 
51 255 39 87 116 
61 255 48 87 122 
54 255 62 87 123 
78 255 71 88 120 
42 255 78 89 117 
51 255 81 92 114 
61 255 81 95 110 
83 255 74 98 112 
66 255 69 98 113 
74 255 62 95 116 
61 255 57 91 116 
98 255 55 87 115 
61 250 53 85 114 
71 236 53 81 115 
49 225 55 80 113 
71 217 55 82 109 
85 211 55 86 102 
79 206 48 90 97 
52 201 51 95 101 
54 200 53 97 104 
59 203 53 93 104 
66 208 48 87 100 
83 220 48 80 98 
154 235 41 72 92 
78 248 46 64 86 
96 254 51 59 85 
61 254 57 58 82 
56 255 60 59 79 
62 255 64 61 75 
69 255 64 61 73 
27 255 57 60 74 
45 255 48 61 75 
134 255 37 62 77 
83 254 27 66 76 
90 252 23 70 74 
129 249 23 70 73 
74 246 23 66 70 
119 243 27 59 65 
100 241 27 55 64 
10 241 30 53 67 
54 242 37 52 68 
49 245 44 53 68 
83 250 46 53 69 
68 254 41 54 70 
139 255 41 55 72 
93 255 46 53 76 
69 255 41 53 78 
59 255 44 52 80 
73 255 37 52 82 
120 255 34 53 81 
129 255 37 55 80 
98 255 39 58 79 
113 255 46 59 78 
127 255 62 57 80 
98 255 64 56 84 
125 253 69 57 87 
171 245 69 57 91 
171 235 69 59 99 
113 223 64 61 107 
113 210 62 65 118 
93 196 60 69 130 
54 183 64 73 142 
85 172 71 75 151 
25 163 81 79 153 
42 155 83 82 149 
51 149 83 85 145 
71 143 83 89 140 
71 138 83 89 135 
51 135 90 87 131 
59 132 99 82 123 
85 129 113 77 116 
127 126 127 73 107 
68 123 141 69 98 
113 121 153 67 91 
134 118 159 68 84 
108 116 159 70 77 
159 114 155 74 75 
95 149 34 57 46 
45 150 32 59 48 
66 151 30 62 50 
115 152 30 62 51 
81 153 30 65 52 
100 154 30 65 53 
83 155 32 66 50 
119 156 37 66 46 
120 157 37 66 43 
166 159 37 65 43 
132 161 39 61 44 
71 162 41 59 46 
62 164 37 57 45 
37 167 37 56 43 
61 170 34 56 42 
28 173 34 58 42 
83 178 34 61 42 
98 186 37 63 42 
83 194 39 64 43 
83 204 44 65 43 
113 212 44 67 42 
107 218 46 66 44 
105 221 48 60 47 
129 223 53 55 52 
117 224 53 52 55 
161 226 51 51 55 
105 227 51 55 55 
149 227 51 62 57 
103 228 51 70 57 
69 228 53 79 60 
79 227 53 87 62 
40 226 51 94 66 
28 227 48 99 72 
32 229 53 101 76 
54 232 57 98 81 
62 236 60 93 83 
127 242 60 87 87 
42 249 57 82 90 
45 254 60 78 92 
35 255 62 78 87 
22 255 64 78 81 
93 255 62 79 77 
79 255 55 80 76 
95 255 48 81 77 
95 255 44 78 81 
136 255 41 75 84 
23 255 41 74 89 
25 255 44 72 93 
78 255 39 76 97 
76 255 34 81 104 
61 255 30 87 109 
47 255 27 90 117 
51 255 46 92 122 
74 255 60 92 122 
122 255 74 90 121 
115 255 81 87 118 
59 255 85 88 115 
40 255 83 90 112 
74 255 76 93 112 
61 255 71 94 112 
51 255 64 92 114 
64 255 62 88 114 
59 255 60 86 113 
59 252 57 87 110 
61 242 57 81 112 
108 231 57 80 112 
85 224 55 84 108 
62 218 55 88 101 
54 213 48 92 95 
52 209 51 99 100 
51 207 55 99 104 
81 210 55 94 104 
95 215 48 87 100 
98 225 46 79 96 
95 237 44 71 91 
93 246 44 63 87 
86 251 48 58 84 
51 254 55 56 82 
61 255 62 56 76 
59 255 67 58 71 
45 255 67 60 69 
51 255 62 59 68 
61 254 51 59 69 
39 253 39 62 70 
35 250 32 66 70 
44 245 27 69 68 
71 242 25 70 66 
64 239 25 64 66 
95 237 27 60 64 
168 237 30 57 65 
107 238 32 54 67 
197 240 37 54 69 
175 243 37 54 69 
105 249 39 54 70 
124 254 41 54 70 
108 255 44 54 71 
90 255 44 56 73 
71 255 39 56 75 
74 255 32 55 77 
119 255 27 54 78 
134 255 23 55 78 
139 255 23 59 76 
139 255 27 61 75 
115 255 39 60 76 
61 255 55 57 78 
130 255 69 54 82 
134 255 78 54 84 
137 253 78 56 87 
115 246 78 57 93 
90 235 74 59 100 
100 221 67 62 110 
76 208 67 66 124 
98 193 67 70 134 
105 180 76 74 144 
44 169 81 79 147 
57 161 78 85 145 
85 153 76 89 143 
61 147 74 92 140 
64 142 74 92 136 
79 138 83 90 131 
120 134 95 85 124 
107 131 108 81 116 
129 128 120 77 108 
76 125 132 73 100 
95 122 143 70 93 
129 120 148 70 86 
180 118 155 71 80 
134 116 155 74 76 
54 149 32 57 45 
69 150 27 58 47 
78 151 27 60 50 
85 152 30 62 52 
69 153 30 65 52 
86 154 27 66 53 
78 155 32 67 48 
45 156 37 68 43 
95 157 37 69 38 
64 159 37 67 39 
25 161 39 64 42 
83 162 41 60 45 
134 164 41 57 45 
103 166 37 57 43 
66 169 37 57 43 
164 172 37 58 42 
124 177 37 60 42 
141 184 39 64 43 
105 193 41 66 43 
76 202 44 67 42 
98 211 46 69 42 
98 217 48 67 44 
107 219 51 62 48 
124 221 53 56 52 
78 222 53 52 55 
103 223 53 51 54 
136 224 51 55 54 
178 224 51 61 53 
159 223 51 70 53 
110 223 55 80 53 
136 223 53 89 54 
139 223 46 96 55 
120 224 44 100 61 
79 226 51 100 66 
51 229 60 95 72 
23 232 64 89 77 
83 237 64 83 80 
22 243 62 79 82 
79 250 62 76 83 
86 254 64 77 77 
88 255 67 78 72 
98 255 64 79 67 
103 255 57 80 66 
47 255 51 80 68 
139 255 44 77 73 
181 255 44 73 78 
144 255 41 70 84 
95 255 39 69 88 
130 255 37 73 95 
76 255 32 79 102 
79 255 25 85 108 
66 255 27 90 115 
51 255 41 92 120 
56 255 60 92 121 
52 255 76 88 120 
76 255 83 85 118 
59 255 88 83 116 
66 255 83 87 112 
71 255 78 90 109 
66 255 74 90 111 
44 255 67 90 112 
88 255 67 86 112 
88 255 67 85 111 
45 254 62 88 106 
71 250 62 83 110 
64 240 69 81 109 
74 233 64 85 105 
71 227 55 89 99 
69 222 51 94 93 
90 219 53 101 100 
56 217 55 100 104 
66 219 55 94 104 
83 225 51 86 100 
90 233 46 78 95 
98 244 44 71 91 
95 248 44 63 86 
120 249 48 57 83 
56 254 53 54 80 
69 255 62 55 75 
47 255 67 57 69 
52 255 69 59 64 
45 254 62 58 64 
85 252 53 58 65 
18 248 41 62 64 
62 242 32 65 64 
69 237 27 68 62 
61 234 27 66 62 
35 232 30 63 63 
69 232 30 59 63 
122 233 30 57 65 
124 235 32 56 66 
154 238 37 54 68 
170 243 37 54 69 
149 249 39 54 69 
146 254 39 54 69 
146 255 41 54 70 
103 255 41 55 71 
100 255 37 57 73 
134 255 27 58 74 
137 255 16 56 76 
113 255 13 57 74 
120 255 13 60 73 
125 255 20 63 71 
125 255 34 60 72 
125 255 55 56 76 
96 255 74 52 79 
146 255 83 53 81 
205 255 83 56 83 
119 253 83 55 88 
141 245 76 57 94 
108 234 71 60 103 
64 220 69 64 115 
90 205 69 68 127 
115 191 74 73 135 
95 179 78 79 139 
64 169 74 86 140 
44 160 71 91 139 
